,Belief In Earning Opportunity Equality,Belief In Pay Equality,Education Helps Women,Role Models Help Women,Family Planning Helps Women,Maternity Pay And Childcare Helps Women,Minimum Wage Help Women,Access To Banking Helps Women,Womens Groups And Charities Helps Women,What Helps Women?,Fear Of Violence Is A Barrier,Laws Against Women Working Are A Barrier,Family Responsibilities Are A Barrier,Lack Of Experience Or Skills Is A Barrier,Traditional Views Of Women Are A Barrier,Lack Of ICT Access Is A Barrier,What Are Barriers To Women?,Strength Of Belief That Government Is Helping Women,What Helped You The Most?,Gender,Education,Age
1479,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,3,My education.,Female,Beyond Secondary School,61
1480,No,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,,2,contacts and my experience,Female,Beyond Secondary School,31
1481,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,4,,Male,Beyond Secondary School,46
1482,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,4,A good education and family's help,Female,Beyond Secondary School,47
1483,No,No,Yes,No,No,No,No,No,No,legal and social economic basic conditions,No,No,No,No,Yes,No,,3,"the professional networks, which I could establish during the professionals career",Female,Beyond Secondary School,64
1484,Yes,Yes,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,Education,Male,Beyond Secondary School,24
1485,No,Yes,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,Having a master's degree in the field I work in.,Female,Beyond Secondary School,38
1486,Yes,Yes,Yes,Yes,No,No,No,No,No,,Yes,Yes,No,No,No,No,,3,,Female,Beyond Secondary School,49
1487,No,No,No,Yes,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,39
1488,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,52
1489,Yes,Yes,Yes,No,No,No,No,No,No,,Yes,No,No,No,No,No,,1,,Male,Beyond Secondary School,25
1490,Yes,Yes,Yes,Yes,No,No,No,No,No,,No,No,No,Yes,Yes,No,,5,,Female,Beyond Secondary School,40
1491,,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,,2,,Female,Beyond Secondary School,34
1492,No,No,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,Yes,No,,3,,Female,Beyond Secondary School,30
1493,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,Yes,No,No,,4,My education and the support of my family.,Female,Beyond Secondary School,44
1494,Yes,Yes,Yes,No,No,No,No,No,Yes,,No,No,No,No,Yes,No,,5,,Male,Beyond Secondary School,47
1495,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,Not Feeling confident and safe to be confident,1,Networks,Female,Beyond Secondary School,43
1496,No,No,No,No,No,Yes,No,Yes,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,28
1497,No,Yes,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,2,my family's support and encouragement and the education i had.,Female,Beyond Secondary School,32
1498,No,,No,Yes,No,No,No,No,Yes,,No,No,No,No,No,No,Women. Usually they don't support each other.,1,Good education. My family (all women work and have their own career and money).,Female,Beyond Secondary School,39
1499,No,No,Yes,No,No,No,No,No,No,willpower and self respect,Yes,No,No,No,No,No,Lack of family support,3,Education and moral support of family  before and after marriage,Female,Beyond Secondary School,44
1500,Yes,Yes,No,Yes,No,Yes,No,No,No,,No,No,No,No,Yes,No,,2,"La plupart des emplois nécessitent un diplômes. En générale ,ces emplois nécessitent des compétences évoluées et un niveau de connaissance plutôt élevé. Il faut savoir aussi que les emplois nécessitant un diplôme sont en générale mieux rémunéré. Donc le diplôme est un passeport obligatoire .",Female,Beyond Secondary School,42
1501,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,1,"Education et équité entre filles et garçons dans ma famille.
Etudes et expériences professionnelles et de vie qui favorisent l'affirmation de soi et la confiance en soi.
Culture du challenge grâce au sport...",Female,Beyond Secondary School,50
1502,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,3,Access to excellent education and access to networks of professionals because I come from an upper-middle class family and community.,Female,Beyond Secondary School,38
1503,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,4,Education and encouragement,Female,Beyond Secondary School,54
1504,No,No,Yes,No,Yes,No,No,No,No,,Yes,No,Yes,No,No,No,,1,"Education, freedom",Female,Beyond Secondary School,29
1505,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,3,"Getting a university education
The role model of my family and their support of us achieving our goals",Female,Beyond Secondary School,73
1506,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,"Connections and networking, especially with other women in important roles",Female,Finished Secondary School,22
1507,No,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,,Female,Beyond Secondary School,30
1508,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,4,Education quality is really helpfu,Male,Beyond Secondary School,2
1509,No,No,No,No,Yes,No,Yes,No,No,,No,No,Yes,No,Yes,No,,3,"My parents were very supportive. They invested in all their children equally, without prejudice.",Female,Beyond Secondary School,23
1510,Yes,No,Yes,No,No,No,No,Yes,No,,No,No,No,No,Yes,No,,4,"Education, experience, mentors, money, positive outlook, taking risks and being flexible to move.",Female,Beyond Secondary School,33
1511,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,,Female,Beyond Secondary School,31
1512,Yes,Yes,Yes,No,No,No,No,Yes,No,,No,Yes,No,Yes,No,No,,5,"je suis de nature a vite m'adapter a tout situation et je vois souvent du bon coté des faits, et aide mes semblables a ne pas refaire les mêmes erreur que moi j'ai fais, j'aime dépensé de l'énergie, et j'aime la liberté raison pour lequel, j'aime trouvé les solution moi même et bien travaillé pour assuré ma liberté, et j'ai prendre des engagement lorsque je prend une décision, même si cela doit engendré des conséquences et cela ma beaucoup appris dans la vie.",Male,Some Primary School,31
1513,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,2,,Female,Beyond Secondary School,46
1514,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,"Positive reinforcement from family on my opportunities, good access to education and opportunities, freedom to make my own decisions without other responsibilities",Female,Beyond Secondary School,24
1515,Yes,No,No,No,No,No,No,No,No,Government laws and mandate,No,No,No,No,Yes,No,,4,"It was a personal effort and family's support as well; I studied hard and persevere in finding a good job. Good thing, in the Philippines, the women also accord high respect and value.",Female,Beyond Secondary School,21
1516,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,Good education and family support. I have also remained focus towards achieving higher education and competitiveness. Women should make extra efforts to further their education. They need more support from the government .,Female,Beyond Secondary School,53
1517,No,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,,1,,Female,Beyond Secondary School,40
1518,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,,Female,Beyond Secondary School,33
1519,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,,Female,Beyond Secondary School,26
1520,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,1,"Preparación y formación académica; actitud; y, contactos.",Female,Beyond Secondary School,44
1521,No,No,No,No,No,No,Yes,No,No,Higher wages for female dominated careers.,No,No,No,No,Yes,No,Value not given to any predominantly female gendered occupations,2,,Female,Beyond Secondary School,42
1522,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,Educarion and looking for opportunities with a positive attitude and willingness to succeed.,Female,Beyond Secondary School,34
1523,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,4,My mother sacrificing a lot for my education and reminding me to keep pursuing my passions and ambitions. My knowledge that my brothers (and therefore men in general) are no more or less competent that I.,Female,Beyond Secondary School,39
1524,Yes,Yes,No,Yes,No,No,No,No,No,,No,No,Yes,No,No,No,,5,,Male,Beyond Secondary School,48
1525,Yes,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,,2,"tener la capacidad para poder emprender un negocio propio, por las circunstancias que tu puedas maniobrar tus tiempos y tus metas de vida.",Male,Beyond Secondary School,27
1526,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,2,a good education and opportunities for skill improvement,Female,Beyond Secondary School,50
1527,Yes,No,No,No,No,No,No,No,No,Empowerment. Make women believe we they are equal to men.,No,No,No,No,Yes,No,,5,"Believing that I am equal to men, believing I am capable of achieving my goals and ignoring people who don't believe in me.",Female,Beyond Secondary School,33
1528,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,34
1529,Yes,Yes,No,Yes,No,No,No,No,No,,No,No,Yes,Yes,No,No,,3,"Role models, education, internships, and working since I was young.",Female,Beyond Secondary School,31
1530,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,No,No,Yes,Yes,No,,3,Qualified education and connection.,Female,Beyond Secondary School,22
1531,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,Education and opportunities.,Female,Beyond Secondary School,50
1532,No,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,,2,Support within the workplace from female managers,Female,Beyond Secondary School,36
1533,No,No,Yes,No,No,No,No,Yes,No,,No,Yes,No,No,Yes,No,,4,Female mentors and sound financial planning,Female,Beyond Secondary School,29
1534,No,No,Yes,No,Yes,No,No,No,No,,No,Yes,Yes,No,No,No,,3,"In my opinion, the first and the most important thing that helps me earn a good job should be my education.",Female,Finished Secondary School,27
1535,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,1,"What has helped me most is being involved in empowerment processes , and will acquire new knowledge and learn if my rights and how to make them effective way .
Besides having the oportuniidad able to study and interact with other women and and exchange experiences.",Female,Beyond Secondary School,42
1536,No,No,No,Yes,No,No,No,No,No,Equal opportunities,No,No,Yes,No,Yes,No,,2,Education.,Female,Beyond Secondary School,28
1537,No,No,Yes,Yes,No,No,No,No,No,,No,Yes,No,No,Yes,No,,4,"My determination has helped the most.  I know women can ""do anything"" but most women that have a family first often have difficulty getting good jobs later in life. Women sacrifice their careers to take care of family - while the husband or partner, is working and building their career. It's very hard to get good work that is flexible so we can still take care of our responsibilities. We don't have a ""wife"" at home taking care of things, so we have to do it all.",Female,Beyond Secondary School,53
1538,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,Education,Female,Beyond Secondary School,72
1539,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,4,"education ,",Female,Beyond Secondary School,27
1540,No,No,No,No,Yes,No,No,No,Yes,,No,No,Yes,No,Yes,No,,1,,Female,Beyond Secondary School,30
1541,No,No,No,Yes,No,Yes,No,No,No,,No,No,No,No,Yes,No,Sexism,1,"Hard work, and good bosses.",Female,Beyond Secondary School,32
1542,No,No,No,No,Yes,Yes,No,No,No,,No,Yes,No,No,Yes,No,,2,education,Male,Beyond Secondary School,76
1543,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,1,,Male,Beyond Secondary School,23
1544,No,Yes,Yes,Yes,No,No,No,No,No,,Yes,No,Yes,No,No,No,,1,"Good speach, good presentation and do the work with my own hands.",Female,Beyond Secondary School,30
1545,No,No,Yes,Yes,No,No,No,No,No,,No,No,No,Yes,Yes,No,,5,Supportive parents education being involved with women's electoral lobby unions good opportunities,Female,Beyond Secondary School,71
1546,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,2,,Female,Finished Secondary School,59
1547,No,No,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,Yes,No,,3,"Education, family support, ambition and hard work",Male,Beyond Secondary School,64
1548,No,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,,4,Education,Female,Beyond Secondary School,54
1549,No,,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,1,"-My education and being exposed to different cultures which enhanced my experiences.
-Viewing my mother as a role model. She has always been independant and has a strong personality. 
-Breaking family and cultural restrictions on what my role as a woman should be.",Female,Beyond Secondary School,27
1550,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,Not being allowed to get an education or go to college,5,"Full access to education. Meaning, our government has provided for us public elementary schools, high schools with minimal fees to pay and colleges which are affordable to go to",Female,Beyond Secondary School,20
1551,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,24
1552,Yes,No,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,3,Skills and by gender too,Female,Beyond Secondary School,32
1553,No,No,Yes,No,No,Yes,No,No,No,,No,Yes,No,Yes,No,No,,4,parents who valued education,Male,Beyond Secondary School,69
1554,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,No,Yes,No,,2,,Female,Beyond Secondary School,21
1555,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,2,A well spread social and professional network backed with good quality education,Male,Beyond Secondary School,30
1556,Yes,No,Yes,No,No,No,Yes,No,No,,Yes,No,Yes,No,No,No,,3,,Male,Beyond Secondary School,27
1557,No,No,Yes,No,No,No,No,No,No,,No,Yes,No,No,No,No,,3,"Education, coming of age in the 70's",Female,Beyond Secondary School,65
1558,No,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,5,,Male,Beyond Secondary School,24
1559,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,Some women think they have to use their bodies for better oportunities.,1,,Female,Beyond Secondary School,33
1560,No,No,Yes,No,Yes,No,No,No,No,,Yes,No,Yes,No,No,No,,1,Good quality education supported by parents.,Male,Beyond Secondary School,36
1561,No,No,No,Yes,No,Yes,No,No,No,,No,No,No,Yes,Yes,No,,2,"Romper con el miedo a fracasar, a poner por delante mis sueños como profesionista y no como lo que se espera que haga una mujer de treinta y tantos, ser contratada por mujeres extraordinarias que han creído en mi...",Female,Beyond Secondary School,36
1562,No,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,The fact that I don't have children,Female,Beyond Secondary School,33
1563,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,4,Equal education and support,Female,Beyond Secondary School,35
1564,No,No,Yes,No,No,No,No,No,No,For employers not to discriminate on age and gender (too old and female) re jobs,No,No,No,No,Yes,No,discrimination based on age and gender (too old and female),3,"re getting good jobs: Access to quality education and training and me taking that up and in turn has grown my confidence . Applying for jobs and promotions and further growing my skills, abilities and experience and my confidence. Someone prepared to give me a go and me taking up job opportunities and running with it. It get a good job and earn more money it has to be a combination of me taking responsibility and someone giving me a go.",Female,Beyond Secondary School,55
1565,No,No,No,No,No,No,No,No,No,"Maternity and paternity pay & childcare, and greater respect for women and their contributions to the home and workplace",No,No,Yes,No,Yes,No,,3,"Support from my family, both financial and emotional,  has allowed me to volunteer and intern during times of unemployment and study, when my income was low or non-existent.  Government support while studying and scholarships from the university also allowed me to continue gaining experience through unpaid work. The education system in Australia, and its emphasis on finishing high school has also been important.",Female,Beyond Secondary School,29
1566,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,"Education, Supportive family and friends and self-confidence.",Female,Beyond Secondary School,26
